name,address,subway_distance,call,price,url,note,visitor_review,blog_review,area,subway,star,orginized_price
작심스터디카페 대치914점,서울 강남구 삼성로71길 21 1층 작심스터디카페 대치914점,한티역 2번출구에서 902m,02-556-0914,"스터디룸ㅣ회의실(1시간)8,000원일일 이용권(2시간)4,000원일일 이용권(4시간)7,000원일일 이용권(6시간)10,000원일일 이용권(8시간)12,000원50시간 이용권(6주)80,000원100시간 이용권(12주)150,000원자유석 이용권(2주)140,000원자유석 이용권(4주)230,000원케임브릿지 고정석(4주)250,000원",https://s.solo.pickko.net/fRbdbnkzfQTEAPwRDcHF,"단체 이용 가능, 무선 인터넷, 남/녀 화장실 구분, 대기공간, 예약",방문자 리뷰 9,,강남구,한티역,,"스터디룸 - 1시간 8,000원, 스터디룸 - 2시간 4,000원, 스터디룸 - 4시간 7,000원, 스터디룸 - 6시간 10,000원, 스터디룸 - 8시간 12,000원"
룸룸스페이스 회의실 선릉역점,서울 강남구 선릉로93길 7 3층,선릉역 7번출구에서 130m,0507-1449-0464,가격정보 없음,URL정보 없음,"단체 이용 가능, 무선 인터넷",방문자 리뷰 10,블로그 리뷰 1,강남구,선릉역,,가격정보 없음
로프트스터디카페,서울 강남구 삼성로 341 B1,대치역 2번출구에서 971m,0507-1310-4177,가격정보 없음,https://www.instagram.com/loft_study,"예약, 단체 이용 가능, 무선 인터넷, 남/녀 화장실 구분",방문자 리뷰 93,블로그 리뷰 16,강남구,대치역,별점 4.63,가격정보 없음
엔아르케 스터디카페,서울 강남구 역삼로64길 20 지하 1층,한티역 2번출구에서 409m,0507-1315-3370,"2인실 스터디룸5,000원4인실 스터디룸8,000원6인실 스터디룸12,000원2주 기간권100,000원4주 기간권170,000원100시간 (유효기간 100일)100,000원2시간4,000원4시간7,000원6시간10,000원8시간13,000원",http://enarche.modoo.at,"단체 이용 가능, 무선 인터넷, 남/녀 화장실 구분, 주차",방문자 리뷰 10,블로그 리뷰 6,강남구,한티역,,"2인실 - 1시간 2,000원, 4인실 - 1시간 2,000원, 6인실 - 1시간 2,000원, 2시간 4,000원, 4시간 7,000원, 6시간 10,000원, 8시간 13,000원"
더작심스터디카페 대치사거리점,서울 강남구 삼성로 321 지하1층 더작심스터디카페 대치사거리점,대치역 2번출구에서 802m,번호정보 없음,"1시간2,500원2시간4,000원4시간7,000원6시간11,000원8시간14,000원12시간(반일권)16,000원24시간(종일권)22,000원시간제정기권10시간(30일)20,000원시간제정기권30시간(60일)50,000원시간제정기권50시간(150일)80,000원",https://pf.kakao.com/_xbvRmG,"예약, 무선 인터넷, 남/녀 화장실 구분, 단체 이용 가능",방문자 리뷰 21,블로그 리뷰 18,강남구,대치역,,가격정보 없음
앉아스터디카페,서울 강남구 선릉로64길 15-6 지하1층,한티역 2번출구에서 289m,0507-1389-9942,"1시간2,000원2시간4,000원3시간5,000원4시간7,000원5시간8,000원6시간10,000원8시간13,000원10시간15,000원30시간50,000원50시간80,000원",https://blog.naver.com/anja_study,"남/녀 화장실 구분, 무선 인터넷, 단체 이용 가능, 예약, 주차",방문자 리뷰 78,블로그 리뷰 143,강남구,한티역,,가격정보 없음
워크토크 선릉점,서울 강남구 테헤란로 406 샹제리제센터 A동,선릉역 1번출구에서 17m,0507-1334-2834,가격정보 없음,https://pf.kakao.com/_wPQeb,"예약, 반려동물 동반, 무선 인터넷, 단체 이용 가능, 주차",방문자 리뷰 17,블로그 리뷰 21,강남구,선릉역,,가격정보 없음
시작스터디카페 한티1호점,서울 강남구 선릉로 314 3층 301호,한티역 1번출구에서 174m,02-555-9500,"일일이용권 1시간3,000원일일이용권 2시간5,000원일일이용권 3시간6,000원일일이용권 4시간8,000원일일이용권 5시간10,000원일일이용권 6시간12,000원일일이용권 7시간14,000원일일이용권8시간16,000원일일이용권 9시간18,000원일일이용권 12시간20,000원",URL정보 없음,"무선 인터넷, 남/녀 화장실 구분, 예약, 단체 이용 가능",방문자 리뷰 41,블로그 리뷰 5,강남구,한티역,,가격정보 없음
토즈 역삼점,서울 강남구 논현로98길 6,역삼역 7번출구에서 322m,0507-1403-0811,"2인실(기본 2시간)15,000원4인실(기본 2시간)25,000원6인실(기본 2시간)40,000원8인실(기본 2시간)50,000원15인 세미나실(기본 2시간)80,000원18인 세미나실(기본 2시간)100,000원1인 오픈석 (1시간) : 소음불가2,500원1인 독립석 (1시간) : 소음불가3,000원노트북 대여 (1시간)1,500원음료 셀프바 무료 이용변동",https://moim.toz.co.kr/,"예약, 단체 이용 가능, 무선 인터넷, 남/녀 화장실 구분",방문자 리뷰 199,블로그 리뷰 54,강남구,역삼역,별점 4.55,"2인실 - 1시간 7,500원, 4인실 - 1시간 12,500원, 6인실 - 1시간 20,000원, 8인실 - 1시간 25,000원, 15인 - 1시간 40,000원, 18인 - 1시간 50,000원, 1인 오픈석 - 1시간 2,500원, 1인 독립석 -"
스페이스나인스터디카페 대치점,서울 강남구 삼성로 314 1층,대치역 3번출구에서 723m,02-508-0903,"2시간5,000원3시간7,200원4시간9,400원5시간11,500원6시간13,300원7시간15,400원8시간17,200원9시간18,900원10시간20,500원11시간22,000원",URL정보 없음,"남/녀 화장실 구분, 무선 인터넷, 예약",방문자 리뷰 8,블로그 리뷰 4,강남구,대치역,,"4인실 - 2시간 5,000원, 4인실 - 4시간 9,400원, 4인실 - 6시간 13,300원, 4인실 - 8시간 17,200원, 4인실 - 10시간 20,500원"
비에이블스터디카페 대치2센터,"서울 강남구 선릉로62길 33 (대치동, 장성빌딩)",한티역 2번출구에서 230m,번호정보 없음,"자유석 2시간4,000원자유석 3시간6,000원자유석 4시간8,000원30시간권60,000원50시간권90,000원100시간권170,000원150시간권230,000원200시간권280,000원스터디룸(3인실)8,000원스터디룸(4인실)10,000원",https://blog.naver.com/beable_daechi2,"무선 인터넷, 남/녀 화장실 구분, 예약, 단체 이용 가능",방문자 리뷰 61,블로그 리뷰 16,강남구,한티역,,"자유석 - 1시간 2,000원, 스터디룸(3인실) - 1시간 4,000원, 스터디룸(4인실) - 1시간 5,000원"
시작스터디카페 한티2호점,서울 강남구 선릉로 310 지하1층,한티역 1번출구에서 100m,070-8018-4094,"일일이용권 1시간3,000원일일이용권 2시간5,000원일일이용권 3시간6,000원일일이용권 4시간8,000원일일이용권 5시간10,000원일일이용권 6시간12,000원일일이용권 7시간14,000원일일이용권 8시간16,000원일일이용권 9시간18,000원일일이용권 12시간20,000원",URL정보 없음,비고 없음,방문자 리뷰 3,블로그 리뷰 2,강남구,한티역,,"일일이용권 - 1시간 3,000원, 일일이용권 - 2시간 5,000원, 일일이용권 - 3시간 6,000원, 일일이용권 - 4시간 8,000원, 일일이용권 - 5시간 10,000원, 일일이용권 - 6시간 12,000원, 일일이용권 - 7시간 14,000원, 일일이용권 -"
보비커피. 스터디룸. 24시 무인카페,서울 서대문구 이화여대길 50-12 럭키대현아파트 단지내상가 201호,이대역 3번출구에서 553m,0507-1381-8227,가격정보 없음,https://blog.naver.com/bobicoffee,"단체 이용 가능, 무선 인터넷, 남/녀 화장실 구분, 예약, 포장, 간편결제, 주차",방문자 리뷰 40,블로그 리뷰 14,서대문구,이대역,,가격정보 없음
이스끄라스터디모임공간,서울 마포구 신촌로 180-1,이대역 6번출구에서 18m,02-701-9538,가격정보 없음,http://cafe.naver.com/iskrastudy,비고 없음,방문자 리뷰 9,블로그 리뷰 1,마포구,이대역,,가격정보 없음
플랜에이 이화스터디룸&카페,서울 서대문구 이화여대길 75 3층,역정보 없음,0507-1355-0622,"일회이용권 2시간3,500원일회이용권 4시간6,000원일회이용권 6시간8,000원일회이용권 8시간10,000원일회이용권 12시간13,000원일회이용권 연장 1시간2,000원시간충전권 30시간(기한12개월)40,000원시간충전권 50시간(기한12개월)65,000원시간충전권 50시간 (기한 30일)50,000원시간충전권 100시간(기한12개월)120,000원",http://pf.kakao.com/_xniaxlK/chat,"예약, 무선 인터넷, 단체 이용 가능, 남/녀 화장실 구분",방문자 리뷰 175,블로그 리뷰 46,서대문구,,별점 4.77,가격정보 없음
온라운지 공덕 스터디룸 회의실,서울 마포구 마포대로 156 공덕푸르지오시티,공덕역 4번출구에서 339m,0507-1380-7633,"시간제 예약(인원추가 요금 없음)15,000원",https://blog.naver.com/onlounge,"단체 이용 가능, 예약, 무선 인터넷, 간편결제, 주차",방문자 리뷰 5,,마포구,공덕역,,"0인실 - 1시간 15,000원"
토즈 스터디센터 공덕1센터,서울 용산구 만리재로 134 9층~10층,애오개역 4번출구에서 672m,02-707-1019,"[당일권] 2시간4,000원[당일권] 4시간7,000원[당일권] 6시간8,000원[당일권] 8시간10,000원[당일권] 1일권13,000원[시간권] 30시간60,000원[시간권] 50시간95,000원[시간권] 80시간140,000원[시간권] 100시간160,000원[기간권] 1주-자유석50,000원",https://blog.naver.com/tozgongdeok,"예약, 무선 인터넷, 남/녀 화장실 구분, 단체 이용 가능",방문자 리뷰 52,블로그 리뷰 7,용산구,애오개역,별점 4.37,가격정보 없음
신촌 채움 모임공간 스터디룸 회의실,서울 마포구 신촌로 150 신촌포스빌 2층,이대역 6번출구에서 287m,0507-1421-2110,"스터디룸 평일 8:00-17:001,500~1,600원스터디룸 평일 17:00~24:001,800~2,000원스터디룸 주말 8:00~24:001,800~2,000원스터디룸 심야 00:00~8:001,200원독립 스터디룸은 1일권 없음변동",http://chaeumhome.modoo.at/,"예약, 단체 이용 가능, 주차, 무선 인터넷, 남/녀 화장실 구분, 포장, 배달",방문자 리뷰 126,블로그 리뷰 173,마포구,이대역,,"주중 - 1시간 1,500원~1,600원, 주중 - 1시간 1,800원~2,000원, 주말 - 1시간 1,800원~2,000원, 심야 - 1시간 1,200원"
시너지스터디룸,서울 마포구 백범로 134-1 2층 3호,대흥역 3번출구에서 384m,02-702-0302,"SELF 2인실 1시간6,000원SELF 2인실 30분3,000원G1 (3인실) 30분3,000원G2 (4인실)30분4,000원G3 (6인실)30분5,000원",URL정보 없음,"단체 이용 가능, 무선 인터넷, 예약, 남/녀 화장실 구분",,블로그 리뷰 1,마포구,대흥역,,"2인실 - 1시간 6,000원, 30분 3,000원, 3인실 - 30분 3,000원, 4인실 - 30분 4,000원, 6인실 - 30분 5,000원"
이대앞 스터디카페,서울 서대문구 이화여대길 52-49 5층,이대역 3번출구에서 331m,0507-1303-7863,가격정보 없음,https://blog.naver.com/cielocla,"남/녀 화장실 구분, 무선 인터넷, 예약, 주차",방문자 리뷰 40,블로그 리뷰 70,서대문구,이대역,,가격정보 없음
멘토즈스터디카페 이화여대점,"서울 서대문구 이화여대길 53 4층, 5층",이대역 3번출구에서 259m,0507-1390-1460,"당일권 2시간4,000원당일권 4시간6,000원당일권 6시간9,000원당일권 8시간11,000원당일권 12시간16,000원시간권 30시간 (4주)45,000원시간권 50시간 (8주)75,000원시간권 100시간 (16주)130,000원기간권 1주 (7일)50,000원기간권 2주 (14일)90,000원",https://www.instagram.com/ewhamento/,"무선 인터넷, 남/녀 화장실 구분",방문자 리뷰 8,블로그 리뷰 15,서대문구,이대역,,"4인실 - 2시간 4,000원, 4인실 - 4시간 6,000원, 4인실 - 6시간 9,000원, 4인실 - 8시간 11,000원, 4인실 - 12시간 16,000원"
알씨디스페이스 공덕점,"서울 마포구 마포대로11길 35 3,4층",공덕역 3번출구에서 571m,번호정보 없음,"일반석 시간권 2시간3,000원일반석 시간권 3시간4,000원일반석 시간권 4시간5,000원일반석 시간권 6시간7,000원일반석 시간권 8시간9,000원일반석 시간권 12시간10,000원기간형정액권 20시간/60일내사용28,000원기간형정액권 50시간/120일내사용60,000원기간형정액권 100시간/180일내사용110,000원기간형정액권 200시간/240일내사용190,000원",http://pf.kakao.com/_eufnG,무선 인터넷,방문자 리뷰 47,블로그 리뷰 31,마포구,공덕역,별점 4.14,가격정보 없음
토즈스터디카페 공덕센터,서울 마포구 백범로 134-1 공덕빌딩 5층,대흥역 3번출구에서 384m,0507-1366-6212,"시간충전권(100시간)140,000원자유석2주(14일)120,000원자유석(1개월)200,000원낮시간요금(8시~16시)/30일150,000원관리반(독립석)350,000원관리반(반독립석)300,000원관리반(일반석)270,000원지정석(C타입)260,000원지정석(A,B타입)240,000원지정석(D타입)200,000원",https://blog.naver.com/tozsca,"남/녀 화장실 구분, 무선 인터넷",방문자 리뷰 35,블로그 리뷰 4,마포구,대흥역,별점 4.68,가격정보 없음
피플스터디카페 서대문역점,서울 서대문구 경기대로 82 5층,서대문역 2번출구에서 195m,02-312-8801,가격정보 없음,https://blog.naver.com/utopia-cafe-study,"예약, 무선 인터넷, 남/녀 화장실 구분, 주차",방문자 리뷰 39,블로그 리뷰 4,서대문구,서대문역,,가격정보 없음
철부지모임공간 신촌이대점,서울 서대문구 이화여대1안길 25 1층 101호,이대역 1번출구에서 261m,0507-1410-2212,"주말 시간당30,000원평일 저녁(시간당) 12명기준20,000원평일 낮(시간당) 12명기준20,000원",https://blog.naver.com/steelman29,"무선 인터넷, 예약, 배달",방문자 리뷰 25,블로그 리뷰 91,서대문구,이대역,,"12인 - 주중 - 1시간 20,000원, 12인 - 주말 - 1시간 30,000원"
스터디셀러,서울 서대문구 이화여대길 76 4층,신촌역 1번출구에서 179m,02-313-5020,"평일(10시~18시)/1시간1,000원평일(18시~22시)/1시간1,500원주말/공휴일(10시~22시)/1시간1,500원30분 추가(18시 이전)500원30분 추가(18시 이후)1,000원5일권50,000원7일권(주말포함)80,000원1개월권230,000원",URL정보 없음,"예약, 단체 이용 가능, 무선 인터넷",방문자 리뷰 6,블로그 리뷰 1,서대문구,신촌역,,"주중 - 1시간 1,000원~1,500원, 주말/공휴일 - 1시간 1,500원"
앤딩스터디카페 냉천점,서울 서대문구 독립문로 65 2층 냉천동,서대문역 2번출구에서 302m,02-363-7589,"1시간1,000원4시간3,500원6시간5,000원9시간7,000원12시간9,000원100시간95,000원200시간180,000원2주 기간권65,000원4주 기간권109,000원8주 기간권210,000원",http://pf.kakao.com/_UxaeRG,"남/녀 화장실 구분, 단체 이용 가능, 무선 인터넷, 예약, 간편결제",방문자 리뷰 27,블로그 리뷰 58,서대문구,서대문역,,"0인실 - 1시간 1,000원, 0인실 - 4시간 3,500원, 0인실 - 6시간 5,000원, 0인실 - 9시간 7,000원, 0인실 - 12시간 9,000원"
열공다방 스터디카페 서대문점,서울 서대문구 통일로 155-1 3층 열공다방,서대문역 2번출구에서 290m,0507-1322-5138,"당일권 [2시간]4,000원당일권[4시간]7,000원당일권[6시간]10,000원당일권[8시간]12,000원당일권[10시간]15,000원연장1시간2,000원[정기권]기간권2주85,000원[정기권]기간권4주135,000원[정기권]8주권225,000원[정기권]12주권320,000원",https://blog.naver.com/yeolgongdabang,"예약, 무선 인터넷, 남/녀 화장실 구분, 단체 이용 가능",방문자 리뷰 224,블로그 리뷰 20,서대문구,서대문역,별점 4.65,가격정보 없음
스터디룸인,서울 종로구 청계천로 61 관철동 빌딩,종각역 4번출구에서 162m,02-732-1127,가격정보 없음,https://blog.naver.com/studyroom-in,"예약, 무선 인터넷, 남/녀 화장실 구분",방문자 리뷰 965,블로그 리뷰 364,종로구,종각역,,가격정보 없음
토즈모임센터 광화문점,서울 종로구 새문안로 89 정우빌딩,광화문역 7번출구에서 207m,02-735-0022,"A타입(2인/기본 2시간)15,000원B타입(2-3인/기본 2시간)16,000원C타입(3-4인/기본 2시간)28,000원D타입(4-5인/기본 2시간)35,000원E타입(5-6인/기본 2시간)44,000원F타입(6-7인/기본 2시간)50,000원G타입(7-8인/기본 2시간)56,000원대형부스(정원20,최대25,지점문의)260,000원오픈석(워크센터/시간당)2,500원독립석(워크센터/시간당)3,000원",https://blog.naver.com/tozghm0022,"예약, 단체 이용 가능, 무선 인터넷, 남/녀 화장실 구분",방문자 리뷰 191,블로그 리뷰 46,종로구,광화문역,별점 4.32,"2인 - 1시간 7,500원, 3-4인 - 1시간 14,000원, 4-5인 - 1시간 17,500원, 5-6인 - 1시간 22,000원, 6-7인 - 1시간 25,000원, 7-8인 - 1시간 28,000원, 정원20,최대25 - 1시간 13,000원"
종로스터디룸 피앤티스퀘어,서울 종로구 수표로 105 육의전빌딩 지하2층,가역 1번출구에서 191m,0507-1410-3264,"심야 이용 정액권(1인기준)8,000원랩실+홀 전체 통 대관(1일9시간)1,000,000원[랩실] 6인실 1개월 정기권1,200,000원[랩실] 8인실 1개월 정기권1,500,000원수제딸기라떼4,600원수제딸기요거트스무디5,000원블루베리스무디4,900원수제자몽에이드4,500원수제레몬에이드4,500원9곡라떼4,200원",URL정보 없음,"예약, 단체 이용 가능, 무선 인터넷, 남/녀 화장실 구분, 포장, 배달, 방문접수/출장",방문자 리뷰 291,블로그 리뷰 111,종로구,종로3가역,,가격정보 없음
모임공간 상연재,서울 중구 세종대로19길 16 (정동3-7) 성공회빌딩 본관2층 상연재,시청역 3번출구에서 164m,02-736-3030,가격정보 없음,http://www.sangyeonjae.co.kr,"주차, 남/녀 화장실 구분, 무선 인터넷, 예약, 단체 이용 가능",방문자 리뷰 86,블로그 리뷰 77,중구,시청역,별점 4.3,가격정보 없음
워크토크 시청점 회의실,서울 중구 서소문로 116 유원빌딩 17층 1702호,시청역 9번출구에서 39m,0507-1402-2641,가격정보 없음,https://pf.kakao.com/_wPQeb,"예약, 단체 이용 가능, 무선 인터넷, 반려동물 동반, 남/녀 화장실 구분, 주차",방문자 리뷰 15,,중구,시청역,,가격정보 없음
써밋스터디카페 서촌점,서울 종로구 자하문로9길 11 3층,경복궁역 2번출구에서 421m,0507-1477-5529,가격정보 없음,https://summitseochon.modoo.at,"남/녀 화장실 구분, 예약, 단체 이용 가능, 무선 인터넷",방문자 리뷰 182,블로그 리뷰 8,종로구,경복궁역,,가격정보 없음
프레쉬스터디카페 종로본점,서울 종로구 삼일대로 391 7층,종각역 4번출구에서 376m,0507-1336-9021,가격정보 없음,http://www.instagram.com/fresh_studycafe,"단체 이용 가능, 무선 인터넷, 남/녀 화장실 구분, 예약",방문자 리뷰 385,블로그 리뷰 25,종로구,종각역,별점 4.63,가격정보 없음
마이스터디룸 &카페 노량진점,서울 동작구 만양로14가길 22 2층 마이스터디룸,노량진역 3번출구에서 334m,번호정보 없음,"인원수로금액받습니다1,000원분필.화이트보드.모니터사용 가격동일1,000원1인 1시간 (2인이상)1,000원",https://blog.naver.com/mystudy_roomcafe,"예약, 무선 인터넷, 남/녀 화장실 구분, 단체 이용 가능",방문자 리뷰 280,블로그 리뷰 59,동작구,노량진역,별점 4.67,"2인 이상 - 1시간 1,000원"
하루스터디룸&카페 노량진점,서울 동작구 만양로18길 14 지하1층,노량진역 3번출구에서 295m,0507-1456-8323,"기본 1인 1시간 (2인 이상 이용시)1,000원최소인원 초과시, 1시간당 1인추가1,000원1번룸(최소4인-최대8인)4,000~8,000원2번룸(최소4인-최대8인)4,000~8,000원3번룸(최소4인-최대8인)4,000~8,000원4번룸(최소4인-최대8인)4,000~8,000원5번룸(최소2인-최대4인)2,000~4,000원6번룸(최소2인-최대4인)2,000~4,000원7번룸(최소3인-최대7인)3,000~7,000원8번룸(최소2인-최대5인)2,000~5,000원",https://blog.naver.com/study_haru,"단체 이용 가능, 예약, 무선 인터넷, 남/녀 화장실 구분",방문자 리뷰 290,블로그 리뷰 20,동작구,노량진역,별점 4.92,"4인 - 1시간 1,000원, 5인 - 1시간 2,000원, 6인 - 1시간 3,000원, 7인 - 1시간 4,000원, 8인 - 1시간 5,000원,
4인 - 1시간 1,000원, 5인 - 1시간 2,000원, 6인 - 1시간 3,000원, 7인 - 1시간 4,"
삼삼오오스터디룸,서울 동작구 만양로14가길 32 지하1층,노량진역 3번출구에서 288m,0507-1401-3465,"기준 인원 이상 이용 시 1인 1시간1,000원야간 22시-08시 룸 상관없이 인당1,000원2호실 최소1인-3인 칠판100cm1,000~3,000원4호실 최소2인-4인 칠판120cm2,000~4,000원11호실 최소2인-4인 칠판120cm2,000~4,000원3호실 최소2인-4인 칠판150cm2,000~4,000원6호실 최소4인-6인 칠판150cm4,000~6,000원7호실 최소4인-6인 칠판150cm4,000~6,000원8호실 최소4인-6인 칠판150cm4,000~6,000원9호실 최소5인-7인 칠판180cm5,000~7,000원",URL정보 없음,"단체 이용 가능, 예약, 무선 인터넷, 남/녀 화장실 구분",방문자 리뷰 42,블로그 리뷰 15,동작구,노량진역,,"1인 - 1시간 1,000원, 2인 - 1시간 1,000원, 3인 - 1시간 1,000원, 4인 - 1시간 2,000원, 5인 - 1시간 2,000원, 6인 - 1시간 4,000원, 7인 - 1시간 5,000원"
오라스터디룸,서울 동작구 노량진로 140 B114호,노량진역 3-1번 출구에서 79m,0507-1349-9050,"4인실2,000~2,800원5인실3,000~7,000원6인실4,000~8,400원",https://blog.naver.com/ohrastudyroom/223247401386,"예약, 남/녀 화장실 구분, 무선 인터넷, 주차",방문자 리뷰 9,블로그 리뷰 12,동작구,노량진역,,"4인실 - 1시간 1,000원~1,400원, 5인실 - 1시간 1,500원~3,500원, 6인실 - 1시간 2,000원~4,200원"
컨센터블 스터디룸&카페 혜림재,서울 동작구 만양로14바길 24 1층,노량진역 3번출구에서 617m,번호정보 없음,"*무료체험권(7시간)무료[연말 50% 할인] 1시간 연속750원[연말 50% 할인] 3시간 연속1,250원[연말 50% 할인] 6시간 연속2,250원[연말 50% 할인] 12시간 연속4,000원[연말 50% 할인] 50시간권19,500원50시간 충전권 (전용석 이용자)10,000원[연말 50% 할인] 100시간권34,500원[연말 50% 할인] 400시간권69,500원충전권 유효기간 1개월 연장권10,000원",https://concentable.notion.site/67d9daaa140441f38e658e80c359b822?pvs=4,"단체 이용 가능, 예약, 남/녀 화장실 구분, 무선 인터넷",방문자 리뷰 654,블로그 리뷰 15,동작구,노량진역,,"무료체험권 - 7시간 무료, 1시간 750원, 3시간 1,250원, 6시간 2,250원, 12시간 4,000원"
올패스 스터디룸 노량진점,서울 동작구 만양로18길 15 올패스 스터디룸,노량진역 3번출구에서 304m,번호정보 없음,시즌에 따라 기준인원 변동변동1인 30분 기준400원,https://blog.naver.com/hapgyeoksr,"단체 이용 가능, 무선 인터넷, 남/녀 화장실 구분, 예약",방문자 리뷰 420,블로그 리뷰 33,동작구,노량진역,별점 4.88,가격정보 없음
오름 스터디룸,서울 동작구 장승배기로28길 26 지하1층,노량진역 3-1번 출구에서 163m,0507-1480-5352,가격정보 없음,URL정보 없음,"예약, 무선 인터넷, 남/녀 화장실 구분, 단체 이용 가능, 대기공간",방문자 리뷰 6,블로그 리뷰 2,동작구,노량진역,,가격정보 없음
